Club;Dernière montée;Classement 2020-2021;Entraîneur;Depuis;Stade;Capacité en L1;Nombre de saisons en L1
LOSC Lille;2000;1er;Jocelyn Gourvennec;2021;Stade Pierre-Mauroy;49712;61
Paris Saint-Germain;1974;2e;Mauricio Pochettino;2021;Parc des Princes;47929;48
AS Monaco;2013;3e;Philippe Clement;2022;Stade Louis-II;16500;62
Olympique lyonnais;1989;4e;Peter Bosz;2021;Groupama Stadium;57206;62
Olympique de Marseille;1996;5e;Jorge Sampaoli;2021;Orange Vélodrome;66226;71
Stade rennais FC;1994;6e;Bruno Génésio;2021;Roazhon Park;29778;64
RC Lens;2020;7e;Franck Haise;2020;Stade Bollaert-Delelis;38223;59
Montpellier HSC;2009;8e;Olivier Dall'Oglio;2021;Stade de la Mosson;22000;29
OGC Nice;2002;9e;Christophe Galtier;2021;Allianz Riviera;35596;62
FC Metz;2019;10e;Frédéric Antonetti;2020;Stade Saint-Symphorien;28000;63
AS Saint-Étienne;2004;11e;Pascal Dupraz;2021;Stade Geoffroy-Guichard;41965;68
Girondins de Bordeaux;1992;12e;David Guion;2022;Matmut Atlantique;42115;68
Angers SCO;2015;13e;Gérald Baticle;2021;Stade Raymond-Kopa;14582;29
Stade de Reims;2018;14e;Óscar García Junyent;2021;Stade Auguste-Delaune;20546;37
RC Strasbourg;2017;15e;Julien Stéphan;2021;Stade de la Meinau;26109;60
FC Lorient;2020;16e;Christophe Pélissier;2019;Stade du Moustoir;18500;14
Stade brestois 29;2019;17e;Michel Der Zakarian;2021;Stade Francis-Le Blé;14920;15
FC Nantes;2013;18e;Antoine Kombouaré;2021;Stade de la Beaujoire;35322;53
ES Troyes AC;2021;1er (Ligue 2);Bruno Irles;2022;Stade de l'Aube;20400;17
Clermont Foot 63;2021;2e (Ligue 2);Pascal Gastien;2017;Stade Gabriel-Montpied;12768;0 
